ID	E_38_FPKM	E_51_FPKM	C_38_FPKM	C_51_FPKM
LOC105321335-XLOC_016535-E3_ubiquitin-protein_ligase_PDZRN3-B	140.249	114.506	92.7633	61.9287
LOC105348843-XLOC_013517-NF-kappa-B_essential_modulator	43.7218	468.452	707.685	194.651
LOC105323598-XLOC_026069-TNF_receptor-associated_factor_3	172.031	469.563	110.071	389.725
LOC105339938-XLOC_031749-ankyrin-1	257.493	217.701	486.292	294.351
LOC105331346-XLOC_005891-fibrinolytic_enzyme,_isozyme_C	657.908	101.227	463.598	43.0034
LOC105325572-XLOC_031539-nuclear_factor_NF-kappa-B_p105_subunit	59827.3	41022.9	78090.8	53767.6
LOC105339254-XLOC_021183-protein_phosphatase_1B	190.021	158.675	163.016	279.863
LOC105319044-XLOC_023736-p65_homolog	713.824	755.253	1086.85	413.469
LOC105327844-XLOC_010144	79.3391	193.083	339.939	327.123
LOC105327844-XLOC_012811	255.819	116.884	186.645	143.142
